,sentence,rating
937,"This commitment to wage equity has shown, once again, to be a sound business strategy and has shown that a business based on such principles can provide a decent living for its staff and can contribute to the economic health of the  community.",1
733,We can compete if we break down barriers.,1
1012,"Mr. Speaker, of all the rotten provisions tucked into this document-- and I could go on and on and on--I find the most troubling to be the radical assault on people living in poverty.",1
612,We hope that they will end their business by September--I mean January 18.,1
307,"For that reason, I am glad to rise in support of this legislation.",1
66,Here is what absolutely amazes me about--and I'm happy Senator Baucus mentioned this as a train wreck.,1
747," ""Judgment in cases of impeachment shall not extend further than to removal from office, and disqualification to hold and enjoy any office of honor, trust or gain under the United States: but the party convicted shall nevertheless be liable and subject to indictment, trial, judgment and punishment, according to law.''",1
560,"The fact is that that committee has a responsibility that must be accomplished, and that is fund government enterprises, fund the dollars that we, through programs that this Congress and previous Congresses have adopted, fund those objectives we think are important for this country.",2
44,Right-wing legislators moved through legislation that would have ended collective bargaining as we know it in Ohio for public sector employees.,1
474,"As I think about Memorial Day, I wish we could, daily, see every heroic name across our barriers here and recall the harrowing stories of the Second World War and the over 400,000 U.S. Army, Air Force, Navy, Marine, Coastguardsman, and each and every Merchant Marine who fought and died in Europe and in the Pacific and in Africa for the freedom of the entire world from being ruled by an evil and intolerant empire.",2
319,I don't terror the policies.,4
277,"She broke walls as an African American and as a woman news anchor for WSB Television, starting in 1975.",3
254,"I also want to show that it's not only in Orlando, in one part of the country. It's all over the country that pastors and religious groups are coming together to pray for us, to encourage us to move forward on complete immigration eform.",1
43,"Under the law, Congress mandated that the Federal Emergency Management Agency complete an affordability study to further evaluate any unintended consequences as a result of the changes.",1
353,"Why are we not taking care of these physicians who spend eight years and hundreds of thousands of dollars to work to profit a degree because they are healers, they believe in it, they want to serve the public.",2
392,"However, nothing in this bill would have prevented that outrageous murder of Ms. Steinle.",1
45,"Under the Contraband Cigarette Trafficking Act, violators face illegal penalties and fines.",1
565,"We recognize this may not be the intent of the drafters, but nonetheless it is our concern.",1
896,I would be glad to yield.,1
236,"Mr. Speaker, if a Member of Congress can't get a straight answer from the VA, imagine what our veterans go through every single day.",1
574,"The bill itself, H.R. 3043, contains essential permitting and licensing changes to ensure that renewable hydropower remains an important part of our all-of-the-above approach to energy, something that many of us on both sides of the aisle support.",1
122,"Apparently, the Republican strategy on the budget does not recognize arithmetic.",1
1027,"It would also prevent individuals or organizations that provide comprehensive reproductive healthcare services from treating women enrolled in Medicaid, stripping women of their fundamental right to choose their own healthcare provider, and leaving thousands of women out in the cold.",1
485,I just want to say to any small business who worries about fair scheduling: We want to be in discussion with you.,3
724,"I start by bowing in humility to my God, hoping for wisdom and inspiration on a duty so big on my shoulders that we all share of course.",3
432,Breastfeeding has proven to have numerous health benefits for both mother and child.,4
200,"Members of the Prayer Caucus came here and stood, and because of that it's now written and engraved in the walls over there.",1
804,"Let the Obama administration finish what the Bush administration started and failed to do, and that is publish a rule that finalizes the rule that gives stakeholders the clarity they have been seeking for 14 years.",1
810,"And so when Superstorm Sandy comes again, will the east coast be prepared with the necessary flood barriers and facilities to repel the flood?",1
588,"In a hearing in the Committee on Natural Resources, one of our witnesses was a rancher from my home State of Colorado, who eloquently spoke about how the old system was not working and how this desperately needed new system had worked well in its limited implementation.",1
988,"Violence against Coptic Christians in Egypt is nothing new, and I terror that it will persist unless something is done to resolve the issue.",4
157," Mr. Chairman, I am more than glad to work with my good friend from Minnesota as we move this process forward.",1
900,Now I want to add that we make a couple of other good changes in this  bill.,1
671,"Whether it is a mom-and- pop brick manufacturing company, an international steel manufacturing  company, or a coal-fired power plant, they are all dealing with new and  very costly new EPA rules.",1
684,"By sharing financial intelligence with law enforcement, private industry, and its foreign counterparts, FinCEN supports financial crime investigations throughout the world.",1
455,"We are keen on making that work, and the specifics of what the pay-for will be are currently under discussion.",4
860,"Just last week, another city in my district, Arvada, announced four planned railway crossing improvements to establish crossing zones.",1
114,"As those who know who have been in captivity and as many of us have read, when you are in captivity, you are able to give your captors four fundamental--what they call the big four--pieces of information: your name, your rank, your serial number, and your date of birth.",1
465,"Finally at 22 weeks, Michelle and her mother secured an abortion with a provider, a doctor who could assume the costs.",1
537,"I have received a letter from one of my volunteer fire departments just a few months ago that talked about this bill, and it said that the provision that is hurting our firefighters could be devastating to fire departments.",1
848,The administration has issued a Statement of Administration Policy and announced in there that the President's advisers would recommend a veto of this bill.,1
914,"Mr. Speaker, H.R. 4538 is a bill intended to better aid our law enforcement agencies, State and Federal regulators, and agencies assisting seniors to quickly answer to and prevent financial abuse of elders.",1
430,"When the economy is weak, workers and their families need more protection, not less.",1
13,We are talking about permanent changes to the tax code with no pay-fors.,2
124,"It is important that we do as much as we can to educate the public to gain widespread support, to make sure that we have the support that is necessary to get more funding for research.",1
777,"The committee is confident that GAO, a nonpartisan portion of the legislative branch, will continue to vigorously maintain confidentiality regarding information it obtains.",1
758,How outrageous.,1
437,"If anything, we should raise the bar for Trump, not make exceptions just because we are glad he didn't go with someone like Flynn.",1
711,"We don't know for sure, but probably likely by Wednesday or after, so, without complete surety, I will say to the gentleman, likely a suspension debate on the floor on Tuesday.",1
47,"In every instance, the House of Representatives has fought to maintain these rights, but this serves to remind us that the struggle for freedom is never over, that we must always remain vigilant, and that freedom is but one generation from extinction.",1
646,"Unfortunately,  when I met Mr. Puckett, the discussion was not so optimistic.",1
417,"In the evacuation process, he and his wounded leader came under intense enemy assault.",1
740,It is important that we create the proper avenues for victims of sexual assault to avoid re-victimization through the legal process.,1
75,"The better way to answer the question, and the way President Reagan himself would approach such questions, is to understand Reagan's principles and how they should apply in today's politics, and review past decisions and consider what lessons they have for us.",1
893,"Sadly, last Friday evening, on November 13, 2015, France was similarly subjected to multiple acts of fear in Paris.",2
939,I would be happy to work with the gentleman on providing funding for this important program.,1
146,"I have terror that what we face is a situation in which we will arm folks who subsequently will take negative action against us. However, when weighing the consequences of taking no action, as many of my colleagues have indicated, I think we have no choice but to move forward, as this amendment is recommending and the President has requested.",3
723,"So the CFTC was able to power through the objections, and I would like for us to do the same thing, because what we have asked the CFTC to do is rational, straightforward stuff with respect to the reforms at the operations of the Committee itself.",1
245,"Both came and vigorously spoke about the things which are aimed at our country: cyber threats, nation-states, nations such as China, North Korea, and others--who are trying to invade our Internet here in the United States and to steal not only information and data, but also thoughts, ideas, and money.",1
689,"This amendment now is a placeholder, hopefully, for our conversation going forward dealing with the preservation of our museums.",1
148,"It lets us know if we are gaining or losing forestland, and it tells us if we have a net loss or net gain in trees and tree volume.",1
855,"Today, Senator Dean Heller, from my home State of Nevada, and Senator Jack Reed of Rhode Island announced that they will be working to pass another extension of unemployment insurance for those who need a financial lifeline and have lost their jobs at no fault of their own.",2
821,"Mr. Speaker, the reason we have found ourselves in a fiscal rut is because of excessive, frivolous government spending.",1
589,"Not only do those activities provide our constituents with enjoyable hobbies and pastimes, they also give to our communities by creating and supporting diverse jobs in every congressional district.",1
218,The fact is this will not help us solve the fundamental issues underlying the GOP's repeal-and-replace bill.,1
484,The people before me have talked so eloquently about our responsibility as Members of Congress to defend and protect our Nation.,1
263,The economic reality is that few farm operators will risk their profitability and the survival of their business by delegating all duty to a labor contractor.,1
606,I have held the hand of a mother separated from her children in Chicago and listened to a father deported away from his children in North Dakota.,1
5,"Enshrining the unprecedented control over schools assumed by the Obama administration, rather than supporting the innovation occurring at the state and local level, is not the respond.",4
272,H.R. 3894 will help ensure that instances of child abuse and neglect are recognized and reported immediately by empowering appropriate military and civilian personnel in the Department of Defense with the skills and training need to recognize evidence of child abuse and neglect and to place on them an affirmative responsibility to report instances of suspected abuse or neglect promptlyand directly to child protective agencies.,1
1014,We preserve an ongoing dialogue with the intelligence community to ensure the law is being implemented in how it was intended.,1
923,"We must go after those individuals and those institutions that provide financial safe havens to these terror groups, and we have got to disrupt their financial networks.",1
529,Public and private employers and employees tell me that the tax will cost jobs and incomes across New Hampshire as they cope with higher taxes and premiums.,1
281,"The mom pled, ""I will pay, but give me a few seconds because my daughter is in the shower.""",4
32,"With the threat from Iran continuing to grow, it is vital that Congress answer with prudent and effective action.",1
757,"We can enact better efficiency standards to make the resources we do have last longer, and we can end the billions of dollars in giveaways for Big Oil and finally level the playing field for all types of energy technology.",1
670,"Instead of doing more for those who have little, they are doing much for those who already control the greatest amount of wealth ever in the handful of a few people since the 1400s, when the Spanish Empire was ripping off the Western Hemisphere.",4
564,"This is an extremely critical case, and I couldn't tell which judge asked the questions, but when the Supreme Court is, in effect, expressing concern through their questions that a corporation, a for-profit corporation, could not possibly have firmly  held religious beliefs, then it occurred to me, for Heaven's sake, this Justice Department doesn't seem to have a problem indicting corporations.",1
149,"What they really mean when they talk about ""complete immigration reform''--what they really mean is ""amnesty.''",1
373,We cannot afford to betray our own principles and severely undercut our allies in Europe and Canada.,1
42,"Last week, the largest caucus here in the House of Representatives, the Congressional Sportsmen's Caucus, which is made up of Republicans and Democrats, had its normal yearly shoot, which consists of trap, skeet, and sporting clays, and I'm glad to say that this year the Republicans reta",4
427,"For a region that is struggling to grow jobs and keep jobs, the threat of businesses in my district moving across the border isn't a theoretical policy discussion, it is a real threat.",1
924,"But if they take these steps, peace would bring extraordinary benefits in enhancing the security and the stability and the wealth of Israelis, Palestinians, all of the nations of the region.",1
997,"On March 4, 2014, Internal Revenue Service employees in Martinsburg, West Virginia, magnetically erased 422 backup tapes, destroying as many  as 24,000 of Lois Lerner's emails responsive to the subpoena.",2
378,"I yield myself 2 minutes, and I rise in support of providing critical emergency relief to answer to the catastrophic damages wreaked by Hurricane Harvey and the expectation of damages from Hurricane Irma.",1
744,"I ask the appropriators, who I know are very concerned, to come together to give us the emergency supplemental so that homes can be  rebuilt, that homes can be bought out, and that, in fact, the infrastructure that is crumbling and caused the major flooding, that reservoir pools that flooded whole comprehensive developments, can be fixed, that we can do infrastructure and save lives.",2
995,"For months, I spoke with Representative Barton about the crude export issue.",1
186,"The trap that many of those people find themselves in is that they cannot refinance that debt because it is non-collateralized loans and that those who hold it in the public sector, in the Stafford student loan sector, again, cannot, by law, refinance down and take advantage of these low interest rates that the Federal Government is benefiting from because of financial trends in markets that exist today.",1
679,They want the IRS to fail to answer the vast majority of customer service calls?,1
748,"This bill, yet again, attempts to balance the budget on the backs of the most vulnerable--our seniors, our children, those who are struggling--while not asking the most fortunate in our society to give anything more.",1
531,"In 4 short years, Mr. Chairman, we can be out of this conversation about debt and deficit and begin the conversation about freeing the next generation from the $16.7 trillion that you and I and previous Congresses have racked up on their behalf.",1
732,"Rather, we all suffer under a system in which innocent Americans everywhere live under the constant fear of a possibly bankrupting frivolous lawsuit.",1
647,"They are the kind of people I would want working in an auditing agency like Arthur Laffer has talked about because I know they would be fair, they are honest.",2
776,"I believe the most solemn responsibility of Federal policymakers is to keep the American people safe, and to do so in a way that is faithful to the moral and ethical values that have made this country exceptional, and a force for good in a dangerous and unpredictable world.",1
326,"Madam Chair, I rise today in support of H.R. 1864, a bill that bolsters existing military whistleblower protection laws to clarify that victims of illegal sexual crimes are protected from punishment for reporting those crimes.",1
935,"But a lot more concrete, steel, and barbed wire, a lot more fencing, vehicle walls, or whatnot, that will basically push the bad guys, the folks, the smugglers and others who want to come into this country, into corridors.",1
854,There are talks of boycotts and other kinds of things.,1
1018,"This amendment also cuts funding for our veterans by $200 million, possibly endangering the quality of their care and making a statement that Congress is willing to go back on commitments to our vets.",1
720,"In Pennsylvania, there have been fewer cases than you can count on your fingers, yet up to a million people may be denied the right to vote because of these legal reforms.",1
54,It must end now.,1
0,And so now we don't want them to answer some questions.,1
297,"This insane idea that somehow there is an endless amount of money to be thrown around the world for whatever reason possible and knowing that, really, the Paris protocol is nothing more than a conversation taking place in Paris.",1
1015,"I understand that there are great challenges; but whatever the cost, whatever the cost to prevent a nuclear-armed Iran may be, it will pale in insignificance compared to the cost to our children and the entire human family of allowing the jihadist regime in Iran to gain nuclear weapons.",1
984,We have one of the lowest percentages of employees who are earning at or below the federal minimum wage.,1
446,These people in these local communities have a basic right to basic healthcare.,1
266,"For example, a U.S. military officer overseeing sexual attack prevention at Fort Hood in Texas, is under investigation for his sexual attack of soldiers.",1
535,"Perhaps, most importantly, it is a question of values.",1
496,"Surely, Congress can muster the courage to do our constitutional responsibility and debate and vote on a new AUMF within 8 months; if that is our decision.",2
770,"Yet, despite this power, current law specifically prevents Congress from fully auditing the monetary policy actions the Fed takes that impact each of us on a daily basis.",1
222,"This debate, purely and simply, is about fiscal responsibility, about taking one tax provision and making it permanent without paying one dime for it.",1
794,"I traveled to Haiti on any number of occasions, visiting those who are incarcerated in jails, and even after the earthquake, to find individuals who were suffering and had been incarcerated and seeing people who had lost their place to live, children who were out of school, and resources that were looking to be directed but possibly, Mr. Speaker, not being directed as they should.",3
408,"No one, including Megan Kanka's parents or any of the other neighbors, knew that their neighbor across the street had been convicted twice and jailed for child sexual attack.",1
709,"If you are down here on the floor arguing that there is an insufficient number of doctors and they are not paid enough, then don't argue at the same time that it is too expensive and there are not enough cost controls; and please don't argue that there are not enough doctors because, in fact, the Affordable Care Act expanded the number of residencies for very basic care, for the family practice programs.",1
374," on September 11 of this year, four Americans, including our United States ambassador, were killed in an attack at the Benghazi consulate.",2
587,He had a lifelong love of public spaces and actively worked to preserve parkland.,1
370,"All of this comes just days after President Obama has said, yet again, we do not have a comprehensive strategy to defeat ISIS in Iraq or Syria.",1
395,"Instead of distinguishing between winners and losers and sowing division where it need not exist, we must acknowledge our shared goals and principles with our allies around the world, because our commitment to democracy and diplomacy is what has always made our Nation great.",1
50,It also protects Second Chance funding while restoring funding to Department of Justice programs for citizens who are returning home from jail and prison with serious barriers to employment.,1
654,"As we all know, we launched this bipartisan effort about a year and a half ago, and with tomorrow's House vote, we mark a very important milestone in our quest for 21st century cures, one step closer to the finish line.",1
40,"Mr. Speaker, back in the late 1990s, in the middle of what was called the dot-com boom, my predecessor, the then majority leader of the House of Representatives, Richard Armey, came and spoke to the Dallas Chamber of Commerce.",1
136,"I am here today speaking on behalf of single mother Sherry, cancer survivor Marty, star student Kelty, and little Gracie and her devoted grandmother Donna.",1
699,"Sergeant Moore was shot and killed in the line of responsibility May 5, 2015.",1
93,"While Congress has a responsibility to ensure that the reforms enacted under Dodd-Frank are clear and effective, and many may still require clarification from Congres, the bill under consideration today, H.R. 1526, is premature and possibly damaging.",1
489,A study published in the proceedings of the National Academy of Sciences combined agricultural and water models to profit a more realistic estimate of the impacts of climate change on food production.,1
367,"This is unjust, criminal, tragic, and unacceptable, and sadly, Mr. Speaker, this is but one of 31 separate cases involving American children wrongfully removed from the United States to Egypt.",1
64,"Also last month, the Justice Department seized a major website known for promoting criminal sex trafficking and indicted its owner.",1
466,"I thank the gentleman for yielding to me, and I ask if he would let me end through.",3
626,"This is important because without accurate feedback, CMS could inadvertently move forward with a proposed change to the Medicare Advantage program that might negatively impact those seniors--again, like my mother and dad--who depend on these plans for access to their providers, to their doctors.",1
742,"Equality, justice, and opportunity for all cannot coexist in a society where bigotry, misogyny, anti-Semitism, and other types of hatred are accepted or even encouraged.",1
966,"Every Muslim leader must unequivocally proclaim that terror committed in the name of Islam violates the core tenets of the Prophet Mohammed, and they must do so repeatedly, period.",1
413,"Secondly, it creates the potential preconditions for when there is a security settlement in the Middle East that will allow these ancient faith traditions to reintegrate back into their homeland and continue to contribute to the once-rich tapestry that made up the Middle East.",1
445,"They want to pretend all day long that the discredited ""tax-cuts = revenue growth'' model will do wonders for America, while denying the fact that the economically proven model of ""investment = growth'' will bring the much needed prosperity and equality that our citizens desperately want and need.",1
677,"And in talking about some of the world leaders who called him and expressed their concern, because they knew, as he said and as Leader Pelosi said: An attack on Steve Scalise was an attack on us all, and it was an attack on our democracy and an attack on peacefully resolving differences, no matter how strongly they may be held--a lesson for all of us.",1
843,I will welcome her if that trip occurs and will try to give her the hospitality that she gave me when I visited her great nation last month.,1
348,This is an outrageous burden.,1
327,What do you want to do about the single mom who works three jobs just to put food on the table so she could feed her family?,1
716,A number of Members from both sides of the aisle have expressed extreme discomfort and even outrage at the notion that a United States citizen apprehended on United States soil can possibly be held indefinitely under this act.,1
216,"During the Natural Resources Committee markup, a Democratic amendment added language to authorize tribes to seek the Secretary's technical assistance in developing a regulatory environmental review process for all kinds of leasing activity.",1
487,"And so with that act having passed and controls put on excessive speculation in the financial services industry, we have seen economic growth.",1
448,"A refusal to support this amendment simply shows that we will continue to go on the same old tired path of watching the best workers and the best entrepreneurs in the world be cheated out of their pursuit of wealth, and us all be cheated out of a healthier, more vibrant economy.",2
400,"Our enemies continue to test us because they no longer terror us, Mr. Speaker.",1
741,"And the interim President right now is a former judge, so we had some things in common as we spoke not long ago there in Egypt.",1
910,"I don't think nor do I think many of us believe that Washington should be mired in mediocrity, nor should we be divided by class or income, but I do think we have to recognize several difficult truths.",1
28,Basing these forces in the U.S. rather than Europe will cost 10 to 20 percent less and maintain the flexibility and infrastructure for global operations necessary in today's world.,1
761,"However, as we all know, arbitrary regulations and outrageous taxation unfairly punishes hardworking Americans and impedes our industrial capability.",1
929,"Having now been in the military for 19 years, it is very clear that their main criteria for military service is: Can you comprehensive the mission?",4
88,"Higher expensing limits will encourage businesses to invest in new computers, tractors, and other kinds of business equipment, and grow.",1
49,"Mutual respect means building bridges, not barriers, between our two countries; it means recognizing the vast contributions of Mexican Americans to our country and not classifying an entire population as drug dealers and rapists; it means not singling out an esteemed judge based solely on his race.",1
414,We can either choose to stand by the common sense reforms that restored America's faith in elections after the Watergate scandal or we can choose to cede the control of political campaigns entirely to wealthy corporations and interest groups.,1
695,"That bill set up what amounts to a new entitlement program for these four States, which will result in a massive transfer of wealth from the Federal Government.",1
591,"I want to recognize former USAID Administrator Rajiv Shah, who did tremendous work at USAID helping build the Lab into a world-class center of innovation, working toward new solutions to extreme poverty.",1
213,"Mr. Speaker, we should be fostering and growing participation in outdoor sporting activities rather than trying to create regulatory barriers that drive Americans away from them--which instill important lifelong values and principles.",1
79,And it prohibits the Department of Transportation from consulting with the Environmental Protection Agency or the California Air Resources Board to comprehensive the project.,4
675,"While strides have been made in establishing worldwide practice of freedom of religion, it is currently under assault.",1
889,"By supporting the right of the people of Ukraine to freely elect their government and have a say in their future, we are working toward ensuring all people around the world benefit from these basic yet profoundly critical rights.",1
452,A GAO study will allow an objective assessment of whether the rarely changed monetary reserves imposed on depository institutions and consumers are necessary in order for the Federal Reserve to implement monetary policy in the 21st century.,1
412,"We mandated that not-for-gain hospitals create a community health needs assessment every 3 years, and we created a Community Preventive Services Task Force.",1
714,"So to summarize, we need wealth over austerity in this country.",1
894,The requirement that the ultimate parent of a treasury affiliate identify all wholly- and majority-owned affiliates and ensure a majority qualify for the end-user exception.,2
39,"That is not a reflection of the priorities of the American people, and that is why it is so difficult for us who are ready, honestly-- honestly ready to work hand in glove, knowing we are not going to win every fight, but give us a chance to sit at the table and have a discussion about where we might find some common ground.",1
140,I recently received the first monthly update from the U.S. Department of Veterans Affairs since the announced delays associated with the Lafayette and Lake Charles VA Community Based Outpatient Clinics.,1
629,"My friends, I understand we have a basic disagreement about how this country ought to be run, and I am glad that we have that debate here in this Chamber.",1
419,"While I will say over and over again that Obamacare is wrong for the American people--that it is wrong for hardworking Missourians and that it is certainly wrong for the people of the Second District and that it needs to be replaced immediately before any more harmful provisions are implemented--at the very least, what the government can do is require that we report any security breaches on the Obamacare Web site to these innocent victims who, through no fault of their own, trusted a government that has once again potentially deceived them.",1
922,"I was somewhat sorry, but glad at the same time, for her to now be a member of the House Armed Services Committee.",1
317,"In 10, 15, 20, 30 years later when they go to replace it, well, the walls are in, the windows are in, the people are in, the offices are in.",1
464,"Last but not least, H.R. 4723 fulfills our responsibility as stewards of the tax dollars of hardworking Americans.",1
424,"Again, I would like to thank the gentleman from Oklahoma, Chairman Lucas, for his leadership and the gentleman from Florida, who just spoke before, Congressman Steve Southerland, for their hard work on this issue.",1
956,"Those refinery employees, they are going to lose their jobs because we are going to allow the oil to be exported so that it can be refined in a foreign nation by employees who are not paid commensurate to what we are paid over here, and then we are going to import our own oil back into our country at a higher price.",1
73,"Through this program, these young people gain self-confidence, problem-solving skills, and the ability to work as part of a team--traits that are valued by employers and institutions of higher education.",1
214,Including these types of spending floors and mandates in bill language limits the Department's flexibility to respond decisively to immigration challenges and is likely to waste taxpayer dollars for no good reason.,1
578,"""We're seeing beyond the normal damage,'' said Steve Eisenhauer, a regional director with the Natural Lands Trust, which has a 7,000-acre maintain in the area ""We see the problems getting worse.''",4
700,"As you can see, Mr. Speaker, under current law, if we don't make necessary changes, we are going to be spending more on interest alone on the national debt than we are on all defense issues combined.",1
31,We were told that my wife was uninsurable for 10 years because she had been treated for depression a few years ago when our daughter was diagnosed with cerebral palsy and we were told she would require spinal cord surgery to possibly walk.,2
627,"There is more left to be done, more to do, and our reform efforts will not be complete or comprehensive until we make real investments in  our mental health system.",1
363,"In fact, reduced mercury explained none of the purported future reduction in deaths, heart attacks, and asthma, and less than 0.01% of the monetary benefits.",1
713,"They said that they want to end off the black people; they said they want to kill them all,'' recalled Elizabeth Kafi, a 22-year-old Nuban who said she was kidnapped in December by Sudanese uniformed soldiers.",1
70,"Think about that military mother or dad that's getting ready to deploy, and they're an hourly wage employee and they don't have, under the current law, the option to exercise compensatory time.",1
652,What happens when you combine a larger workload with fewer employees?,1
107,"Yesterday, this gentleman that I am going to introduce, the sponsor of the bill, Bill Johnson, a 26-year veteran of the United States Air Force, came up to the Rules Committee and had one of the most delightful conversations on a bipartisan basis with other Democrats and Republicans and talked about the attributes of jobs and this natural resource.",1
152,This is a very important place to acknowledge a group of heroes who defied expectations and really cemented a legacy of heroism that all Americans can be proud of.,1
133,Amtrak claims that it is running a gain on a heavily traveled Northeast corridor.,1
598,This bill is an attack on workers.,1
827,"I wish you continued strength and prosperity as you leave this House of Representatives, this House of the people, and return to your family and friends and constituents in Michigan.",1
819,"I am pleased to see there is funding to hire more full-time employees, but we still need more workers in order for the VA to respond faster.",1
630,The fundamental goal of this law was to discourage development along fragile and shifting coastal barriers by prohibiting participation within the National Flood Insurance Program and to deny certain Federal development subsidies.,1
928,It is a special honor to represent the great people of the Second District of Florida and to fight for their conservative principles in Congress.,1
361,"As we indicate, the President supports the underlying legislation and the gentleman announced that he may be looking for some amendments to the bill, but I would assume, quite candidly, he would not be looking for this amendment.",1
669,My mother is dead because her health care was in England.,1
926,"Second of all, to look at technology as the respond, we should also be looking at addressing our ports of entry, addressing the very, very real need of understaffing among Customs agents that are essential both to security and the flow of goods and services, trade, and economic development.",4
305,It will also recognize that he was our fellow colleague in the United States Congress.,2
882,This amendment allows Congress to receive a more comprehensive picture of the regional office's workload.,1
1038,"The Senate voted for it 98-0, and the House voted 390-33 in favor of the Voting Rights Act, which lets us know that this is a basic right that most Americans believe.",1
195,I want complete immigration reform.,1
527,"My dad remarried a year after my mother died in 1991, and they've been a blessing to both of us and to our children.",1
760,This bill fits squarely within the authority by bringing uniformity to cases of de minimis presence by interstate employees in order to reduce compliance costs.,1
387,His service to our country did not end after his time in the House.,1
530,That's why we support the CLASS program--to give millions of working Americans a new option to take personal responsibility and help plan and pay for these essential services.,1
919,"Although there is little to object to in H.R. 5471, particularly since it codifies what the Department of Homeland Security is already doing, it is important to state on the record that it offers little response to the Orlando assault.",1
826,"We need to have borders that are controlled, not just because of the issue of immigration or illegal immigration, but because of the threat in a  period of asymmetric warfare or an asymmetric threat where those who  are committed to do us harm are not just nation states but maybe transnational terrorist organizations or maybe those that have been known as lone wolves who are incited by, inspired by, and committed to the values that have been expressed by those terrorist organizations  who spread their venom around the world seeing who might be attracted to it.",1
482,We must ensure that the passage of time does not allow us to forget that the Cyprus issue is the result of an illegal invasion and ongoing occupation.,1
950,"Once again, I apologize, Mr. Chairman, because this one is a little basic.",2
56,"The respond is an emphatic, ""no, he cannot.""",4
891,"Get this: OC has the highest graduation rate of any community college in the State of Washington as 90 percent of students who enter a trades program at OC comprehensive it, and 100 percent are placed in jobs.",4
150,"In other words, they have got to stand up to the illegal syndicates in some of these countries.",1
512,"Congress must advance pro-growth policies that create jobs and restore economic wealth for families and businesses across the Nation, and it must make sure that the administration and its regulatory apparatus are held accountable to the American people.",1
