,1,2,3,4,5,list1_party,list2_party,list3_party,list4_party,list5_party,list1,list2,list3,list4,list5,party,party_identity,political_engagement,age,gender,voted
78,2,4,3,5,4,democrat,democrat,democrat,republican,republican,"criminal, acknowledge, workers, responsibility, assault","glad, outrageous, mother, indicated, financial","maintain, spoke, wealth, kinds, basic","reforms, walls, gain, possibly, give","finish, complete, principles, answer, conversation",2,-3,-3,25,2,2
79,5,5,4,4,4,republican,republican,republican,democrat,democrat,"types, give, reforms, happy, attack","walls, duty, conversation, illegal, principles","employees, excessive, preserve, prosperity, finish","spoke, mother, respond, basic, acknowledge","indicated, comprehensive, potentially, financial, profit",2,0,1,25,2,1
80,5,4,3,5,3,republican,republican,republican,democrat,democrat,"walls, gain, preserve, give, monetary","excessive, talked, illegal, attack, types","reforms, duty, conversation, recognize, prosperity","mother, basic, respond, comprehensive, values","workers, indicated, potentially, glad, end",3,1,2,42,2,2
83,5,3,3,3,2,democrat,democrat,democrat,republican,republican,"discussion, end, acknowledge, basic, contribute","kinds, criminal, indicated, outrageous, assault","barriers, financial, workers, wealth, profit","answer, talked, possibly, principles, preserve","complete, reforms, duty, mom, happy",2,3,-1,25,2,1
84,1,4,5,3,5,republican,republican,republican,democrat,democrat,"reforms, prosperity, answer, finish, employees","gain, give, conversation, happy, talked","illegal, complete, principles, preserve, fundamental","outrageous, mother, financial, potentially, barriers","indicated, responsibility, acknowledge, assault, kinds",2,2,2,28,1,1
86,4,2,5,3,5,democrat,democrat,democrat,republican,republican,"mother, barriers, responsibility, contribute, assault","potentially, profit, end, outrageous, glad","comprehensive, financial, maintain, respond, basic","announced, reforms, prosperity, illegal, types","recognize, conversation, employees, principles, talked",3,-3,-3,25,2,1
87,2,3,6,6,6,democrat,democrat,democrat,republican,republican,"responsibility, contribute, maintain, workers, financial","basic, potentially, outrageous, indicated, discussion","respond, comprehensive, mother, spoke, wealth","illegal, walls, finish, types, happy","reforms, attack, gain, recognize, principles",3,3,-1,37,2,1
88,2,4,5,4,5,republican,republican,republican,democrat,democrat,"answer, excessive, preserve, happy, give","illegal, announced, duty, conversation, employees","mom, walls, principles, recognize, monetary","wealth, spoke, potentially, end, basic","assault, changes, profit, comprehensive, kinds",3,0,1,40,1,2
89,2,1,2,4,5,democrat,democrat,democrat,republican,republican,"end, maintain, respond, changes, spoke","assault, acknowledge, mother, responsibility, profit","glad, discussion, workers, potentially, values","excessive, complete, give, walls, illegal","monetary, prosperity, fundamental, types, announced",2,1,0,35,1,1
90,5,2,1,5,6,republican,republican,republican,democrat,democrat,"gain, duty, employees, happy, answer","conversation, give, fundamental, complete, monetary","mom, preserve, announced, walls, types","outrageous, potentially, criminal, changes, assault","end, wealth, values, acknowledge, spoke",3,1,0,44,2,1
91,2,5,2,2,3,republican,republican,republican,democrat,democrat,"principles, walls, announced, give, attack","types, recognize, fundamental, prosperity, conversation","happy, gain, talked, finish, employees","responsibility, changes, maintain, respond, outrageous","potentially, mother, financial, criminal, comprehensive",3,0,1,32,2,1
92,2,5,3,4,5,republican,republican,republican,democrat,democrat,"possibly, monetary, reforms, happy, types","finish, give, prosperity, illegal, preserve","talked, principles, conversation, employees, complete","respond, basic, indicated, mother, acknowledge","profit, assault, responsibility, barriers, outrageous",2,0,-2,43,1,1
94,3,5,4,6,2,democrat,democrat,democrat,republican,republican,"basic, maintain, financial, indicated, end","discussion, criminal, acknowledge, values, assault","potentially, contribute, workers, kinds, glad","walls, talked, complete, gain, prosperity","answer, excessive, duty, reforms, mom",3,-2,0,45,1,1
95,5,2,3,4,6,democrat,democrat,democrat,republican,republican,"basic, potentially, criminal, mother, responsibility","kinds, values, discussion, acknowledge, wealth","profit, respond, changes, contribute, assault","monetary, preserve, walls, talked, announced","complete, excessive, employees, happy, finish",3,-1,-3,29,1,2
97,5,1,5,5,5,republican,republican,republican,democrat,democrat,"types, illegal, employees, recognize, happy","mom, principles, possibly, reforms, answer","preserve, talked, excessive, fundamental, prosperity","comprehensive, contribute, barriers, financial, end","responsibility, profit, discussion, indicated, assault",1,-3,-1,52,1,1
99,6,6,2,6,6,democrat,democrat,democrat,republican,republican,"comprehensive, mother, assault, wealth, responsibility","end, glad, respond, profit, acknowledge","contribute, basic, kinds, spoke, values","announced, conversation, walls, possibly, reforms","preserve, monetary, excessive, illegal, employees",2,0,-3,29,1,2
100,2,5,4,3,2,republican,republican,republican,democrat,democrat,"employees, answer, excessive, principles, fundamental","possibly, reforms, announced, conversation, attack","illegal, duty, walls, complete, give","acknowledge, mother, wealth, profit, spoke","maintain, financial, glad, end, kinds",1,0,-1,28,2,1
102,3,5,4,4,2,democrat,democrat,democrat,republican,republican,"wealth, indicated, mother, workers, discussion","contribute, financial, outrageous, profit, respond","basic, kinds, assault, end, barriers","talked, reforms, illegal, complete, possibly","recognize, principles, duty, happy, preserve",2,1,0,29,2,1
103,3,5,3,2,2,republican,republican,republican,democrat,democrat,"answer, excessive, principles, walls, possibly","talked, finish, preserve, fundamental, reforms","illegal, monetary, happy, gain, attack","kinds, workers, indicated, discussion, contribute","comprehensive, wealth, acknowledge, responsibility, mother",2,2,0,29,1,2
104,3,6,6,1,4,democrat,democrat,democrat,republican,republican,"end, changes, comprehensive, assault, profit","workers, contribute, barriers, respond, responsibility","financial, discussion, maintain, criminal, indicated","mom, prosperity, excessive, recognize, happy","possibly, fundamental, talked, types, principles",1,0,-2,44,2,1
105,2,6,1,3,2,republican,republican,republican,democrat,democrat,"mom, duty, preserve, possibly, excessive","gain, fundamental, happy, attack, walls","give, finish, illegal, recognize, employees","comprehensive, kinds, values, financial, changes","wealth, discussion, spoke, indicated, respond",2,-3,0,39,2,1
106,5,5,4,3,5,democrat,democrat,democrat,republican,republican,"glad, respond, end, changes, wealth","profit, acknowledge, values, spoke, workers","assault, maintain, financial, basic, criminal","possibly, duty, give, mom, complete","walls, types, announced, excessive, conversation",2,3,4,36,2,1
108,4,4,3,4,3,republican,republican,republican,democrat,democrat,"walls, reforms, monetary, finish, employees","preserve, duty, mom, give, fundamental","illegal, excessive, happy, attack, recognize","comprehensive, wealth, kinds, respond, values","discussion, spoke, potentially, profit, indicated",1,0,-3,34,1,1
109,5,2,1,6,4,democrat,democrat,democrat,republican,republican,"barriers, comprehensive, potentially, outrageous, assault","indicated, values, acknowledge, basic, end","contribute, workers, wealth, responsibility, kinds","illegal, conversation, answer, mom, gain","monetary, happy, preserve, talked, reforms",2,0,2,26,1,1
111,5,3,4,4,3,democrat,democrat,democrat,republican,republican,"spoke, workers, barriers, discussion, respond","comprehensive, mother, basic, changes, assault","glad, kinds, values, wealth, potentially","finish, excessive, duty, illegal, preserve","give, monetary, gain, recognize, announced",3,-3,-3,40,2,2
112,5,5,1,6,6,democrat,democrat,democrat,republican,republican,"maintain, kinds, profit, basic, end","criminal, spoke, barriers, responsibility, discussion","mother, acknowledge, indicated, changes, glad","complete, prosperity, employees, possibly, monetary","principles, give, attack, answer, excessive",2,3,4,23,2,1
113,5,3,5,4,3,republican,republican,republican,democrat,democrat,"conversation, fundamental, finish, reforms, give","gain, duty, prosperity, illegal, announced","happy, talked, mom, principles, monetary","barriers, acknowledge, maintain, potentially, workers","respond, assault, comprehensive, kinds, outrageous",1,3,0,49,1,1
114,2,5,4,2,4,republican,republican,republican,democrat,democrat,"gain, complete, preserve, possibly, duty","announced, monetary, illegal, attack, recognize","answer, happy, talked, mom, give","wealth, basic, discussion, values, outrageous","workers, end, barriers, changes, kinds",1,3,-3,29,2,2
116,4,3,5,6,6,democrat,democrat,democrat,republican,republican,"contribute, financial, mother, spoke, maintain","comprehensive, acknowledge, potentially, profit, basic","end, outrageous, changes, kinds, glad","announced, principles, duty, walls, employees","attack, illegal, conversation, answer, prosperity",2,2,0,26,2,1
117,2,4,5,2,6,republican,republican,republican,democrat,democrat,"types, happy, gain, prosperity, reforms","mom, talked, recognize, monetary, employees","answer, announced, give, conversation, illegal","potentially, values, comprehensive, responsibility, basic","outrageous, assault, end, barriers, maintain",2,-1,0,32,1,1
118,5,1,6,6,1,republican,republican,republican,democrat,democrat,"preserve, answer, conversation, attack, complete","announced, excessive, reforms, mom, monetary","recognize, talked, possibly, illegal, happy","wealth, values, basic, kinds, contribute","workers, end, profit, responsibility, barriers",1,2,4,31,2,1
119,6,2,4,4,6,democrat,democrat,democrat,republican,republican,"responsibility, mother, basic, discussion, comprehensive","contribute, potentially, indicated, respond, changes","profit, kinds, spoke, end, financial","illegal, excessive, employees, happy, attack","recognize, principles, prosperity, walls, preserve",2,2,1,26,1,1
121,6,6,4,3,5,republican,republican,republican,democrat,democrat,"conversation, gain, finish, principles, walls","talked, fundamental, announced, prosperity, illegal","monetary, mom, attack, answer, give","potentially, maintain, acknowledge, kinds, comprehensive","glad, changes, responsibility, workers, outrageous",2,3,2,34,2,1
122,5,3,2,3,6,democrat,democrat,democrat,republican,republican,"indicated, outrageous, assault, acknowledge, discussion","respond, criminal, potentially, basic, end","glad, values, maintain, kinds, wealth","give, monetary, complete, mom, employees","walls, duty, reforms, talked, gain",2,1,1,41,2,1
123,5,4,6,1,3,democrat,democrat,democrat,republican,republican,"financial, end, mother, acknowledge, spoke","wealth, values, potentially, respond, maintain","criminal, changes, assault, kinds, outrageous","announced, walls, fundamental, give, happy","duty, complete, conversation, employees, gain",2,1,0,35,2,1
125,5,2,3,4,5,democrat,democrat,democrat,republican,republican,"discussion, criminal, basic, spoke, mother","values, potentially, end, changes, barriers","glad, comprehensive, maintain, contribute, acknowledge","prosperity, excessive, employees, monetary, types","announced, duty, attack, gain, answer",2,1,-1,32,1,1
126,4,4,3,2,4,democrat,democrat,democrat,republican,republican,"respond, criminal, maintain, discussion, profit","comprehensive, responsibility, values, wealth, outrageous","changes, spoke, workers, kinds, glad","finish, mom, walls, announced, give","recognize, attack, monetary, fundamental, possibly",1,3,1,40,1,2
127,5,5,4,4,3,democrat,democrat,democrat,republican,republican,"assault, workers, values, basic, criminal","maintain, profit, outrageous, financial, end","spoke, respond, mother, wealth, acknowledge","give, walls, conversation, possibly, reforms","happy, duty, types, announced, complete",1,1,0,58,1,1
128,4,6,3,4,3,republican,republican,republican,democrat,democrat,"recognize, types, answer, reforms, happy","duty, complete, conversation, talked, gain","fundamental, mom, walls, give, possibly","assault, indicated, outrageous, end, maintain","workers, wealth, values, criminal, financial",3,0,1,29,2,1
129,6,1,1,6,1,republican,republican,republican,democrat,democrat,"recognize, gain, types, attack, talked","illegal, mom, complete, monetary, preserve","excessive, conversation, principles, announced, give","responsibility, potentially, end, changes, basic","respond, glad, wealth, workers, barriers",3,0,-3,24,2,2
130,3,4,4,4,3,republican,republican,republican,democrat,democrat,"possibly, happy, give, monetary, types","complete, illegal, walls, talked, reforms","recognize, duty, fundamental, mom, employees","maintain, outrageous, discussion, values, respond","end, wealth, assault, profit, indicated",3,1,0,28,1,1
131,5,5,4,4,3,republican,republican,republican,democrat,democrat,"illegal, give, complete, principles, fundamental","walls, employees, duty, recognize, mom","announced, reforms, gain, answer, attack","glad, kinds, maintain, potentially, outrageous","wealth, end, spoke, financial, discussion",3,0,4,29,1,1
132,5,6,2,3,3,republican,republican,republican,democrat,democrat,"preserve, prosperity, gain, fundamental, happy","mom, illegal, monetary, answer, walls","principles, announced, conversation, complete, recognize","contribute, kinds, changes, workers, assault","outrageous, responsibility, spoke, end, potentially",1,0,2,50,2,1
