ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed
67,paycheck,girls,achievements,relationships,song,friendships,victory,miracle,winner,bonuses,homicide,deficiency,killer,funerals,nightmare,rapist,difficulties,crimes,failures,death,proposals,sites,region,instruction,particle,predecessor,affiliations,referral,pillar,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,hundred,small,wide,NEGATIVE,3,True
68,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
69,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
70,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
71,paycheck,girls,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,regions,instructions,particles,predecessors,affiliations,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,1,True
72,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulty,crimes,failures,deaths,proposal,sites,regions,instruction,particle,predecessor,affiliation,referral,pillar,towns,second,mile,kilometer,teaspoon,cup,megabyte,gigahertz,hundred,small,narrow,NEGATIVE,1,True
73,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillars,town,second,mile,kilometer,teaspoon,liter,megabyte,hertz,hundred,big,narrow,NEGATIVE,1,True
74,paycheck,girls,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failure,deaths,proposal,site,regions,instructions,particle,predecessor,affiliation,referral,pillar,town,minute,yard,centimeter,tablespoon,cup,megabyte,hertz,thousand,small,narrow,NEGATIVE,3,True
75,paycheck,girls,achievements,relationships,songs,friendship,victories,miracles,winners,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,regions,instructions,particle,predecessors,affiliations,referral,pillars,-99,second,mile,kilometer,teaspoon,cup,megabyte,hertz,thousand,small,narrow,NEGATIVE,1,True
76,paycheck,girls,achievement,relationships,song,friendship,victory,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,region,instructions,particle,predecessors,affiliation,referrals,pillars,towns,second,mile,centimeter,teaspoon,cup,megabyte,hertz,thousand,big,narrow,NEGATIVE,2,True
77,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,mile,centimeter,teaspoon,liter,gigabyte,hertz,hundred,small,narrow,NEGATIVE,2,True
78,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessors,affiliations,referral,pillars,towns,second,yard,centimeter,teaspoon,liter,gigabyte,hertz,hundred,small,narrow,NEGATIVE,1,True
79,paycheck,girls,achievements,relationship,songs,friendships,victories,miracle,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,town,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,1,True
80,paycheck,girl,achievement,relationship,song,friendship,victory,miracles,winners,bonus,homicides,deficiency,killer,funeral,nightmare,-99,difficulty,crime,failure,-99,proposal,sites,regions,-99,particle,predecessor,affiliations,referrals,pillar,town,second,yard,kilometer,teaspoon,cup,gigabyte,hertz,thousand,big,narrow,POSITIVE,1,False
81,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particle,predecessors,affiliations,referral,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
82,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,site,regions,instruction,particle,predecessors,affiliations,referral,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
