0,1,2,3,4
upon,on,,,
market,-1,,,
vision,-1,,,
target,-1,,,
language,-1,,,
engine,-1,,,
requires,needs,necessitates,demands,
anything,-1,,,
issue,-1,,,
options,choices,alternatives,possibilities,
argue,-1,,,
abuse,-1,,,
use,utilize,,,
hot,-1,,,
incentive,motivation,reason,motive,
taxation,-1,,,
open,-1,,,
entire,complete,whole,total,
activity,-1,,,
save,-1,,,
sector,-1,,,
fighting,-1,,,
give,-1,,,
keeps,remains,stays,maintains,
tariffs,-1,,,
card,-1,,,
built,contstructed,,,
number,-1,,,
account,-1,,,
bowles,-1,,,
meant,-1,,,
place,-1,,,
faster,quicker,brisker,speedier,
consecutive,successive,continuous,uninterrupted,
politically,-1,,,
subject,-1,,,
unions,-1,,,
understand,-1,,,
happening,occuring,,,
rest,-1,,,
style,-1,,,
air,-1,,,
leaders,chiefs,heads,,
past,previous,former,,
total,entire,complete,aggregate,
commission,-1,,,
conduct,-1,,,
medical,-1,,,
order,-1,,,
learn,grasp,,,
decision,resolution,conclusion,determination,
proven,-1,,,
legitimate,legal,lawful,honest,
court,-1,,,
compete,-1,,,
feel,-1,,,
signing,-1,,,
welcome,greet,,,
growth,-1,,,
job,-1,,,
deal,-1,,,
drop,-1,,,
payroll,-1,,,
amount,-1,,,
owe,-1,,,
puts,places,sets,lays,
sides,-1,,,
dealt,-1,,,
easier,-1,,,
agency,organization,,,
elected,nominated,chosen,appointed,
limited,restricted,bounded,restrained,
dying,-1,,,
whole,-1,,,
terrific,tremendous,mighty,extraordinary,
successful,-1,,,
solid,stable,,,
bernanke,-1,,,
night,-1,,,
home,-1,,,
simply,-1,,,
establish,-1,,,
using,-1,,,
provided,-1,,,
sales,-1,,,
light,-1,,,
runs,-1,,,
fundamental,basic,foundational,elementary,
guess,-1,,,
behind,-1,,,
nasa,-1,,,
listening,-1,,,
convinced,persuaded,,,
towards,-1,,,
letting,allowing,permitting,authorizing,
commercial,-1,,,
savings,-1,,,
carry,-1,,,
survive,-1,,,
sunni,-1,,,
utterly,completely,totally,absolutely,
better,-1,,,
allowing,-1,,,
panel,-1,,,
according,-1,,,
lobbying,-1,,,
failing,-1,,,
makes,-1,,,
strongest,-1,,,
southern,-1,,,
aisle,-1,,,
opening,-1,,,
wait,delay,pause,,
sovereignty,-1,,,
building,-1,,,
cares,-1,,,
voice,-1,,,
plus,-1,,,
want,-1,,,
modernize,update,overhaul,streamline,
shrink,diminish,contract,dwindle,
agencies,-1,,,
remove,-1,,,
solve,-1,,,
review,-1,,,
next,following,subsequent,upcoming,
beaten,-1,,,
consistently,-1,,,
across,-1,,,
six,-1,,,
consistent,-1,,,
track,-1,,,
lessons,-1,,,
asked,-1,,,
draft,-1,,,
skills,-1,,,
required,-1,,,
involvement,-1,,,
apply,-1,,,
gain,-1,,,
america,-1,,,
fight,-1,,,
