,0,1,DPKL_1,RPKL_1,DPKL_2,RPKL_2,DIFF1,DIFF2,DIFF_SQ
49,harmful,harmless,2.717947244628135e-05,-1.8847021986257264e-05,-3.52502404353759e-08,3.5576604055495535e-08,4.6026494432538615e-05,-7.082684449087144e-08,2.1184432061904085e-09
50,humble,proud,-2.9031101304804527e-06,3.5315432758849952e-06,-2.5099047895953735e-05,2.6741933338631384e-05,-6.434653406365448e-06,-5.184098123458512e-05,2.7288920998246567e-09
51,hate,love,8.980042646997721e-06,-7.713497632537239e-06,-2.383494798065082e-05,2.750197053113232e-05,1.6693540279534962e-05,-5.133691851178314e-05,2.9141534893499183e-09
52,forget,remember,-1.4885983704534709e-05,1.7292571824736606e-05,-2.1747762522702854e-05,2.361020044234756e-05,-3.2178555529271316e-05,-4.535796296505041e-05,3.092804240289282e-09
53,create,destroy,2.9782734060855768e-05,-2.7973409644650783e-05,-1.2541182975951152e-05,1.5251557856079775e-05,5.7756143705506554e-05,-2.779274083203093e-05,4.108208578687564e-09
54,strong,weak,3.401847981665815e-05,-3.192861149600755e-05,-1.8736898389245607e-06,2.0378251705385844e-06,6.594709131266569e-05,-3.911515009463145e-06,4.364318802270322e-09
55,defeat,victory,3.871241127322627e-05,-2.70219564957325e-05,-4.162635201019918e-06,4.629931309346793e-06,6.573436776895876e-05,-8.79256651036671e-06,4.398316331823947e-09
56,safe,unsafe,3.590674361667658e-05,-3.200526986798277e-05,7.63664787708164e-06,-4.339015086588489e-06,6.791201348465935e-05,1.197566296367013e-05,4.7554580789599736e-09
57,first,last,-3.654846173051647e-05,3.7591747764117024e-05,-7.877905153160503e-06,7.924249348955142e-06,-7.414020949463349e-05,-1.5802154502115646e-05,5.746478750816876e-09
58,captive,free,-3.95118614632711e-07,4.245433885963271e-07,-3.992554303322954e-05,4.556283273774956e-05,-8.196620032290381e-07,-8.54883757709791e-05,7.308934237759664e-09
59,ally,enemy,-1.5340793342618134e-05,2.4148816996980746e-05,-2.8011700083183594e-05,5.217246587080262e-05,-3.9489610339598876e-05,-8.018416595398622e-05,7.988929794509758e-09
60,peace,war,-7.954231578984606e-06,8.321800172406789e-06,-4.2535859200942786e-05,4.5719449294964826e-05,-1.6276031751391397e-05,-8.825530849590761e-05,8.053908687280124e-09
61,fake,real,2.5549530610438564e-06,-1.96546298389107e-06,4.88905443464752e-05,-4.431294910139241e-05,4.520416044934926e-06,9.320349344786762e-05,8.707325352106007e-09
62,discourage,encourage,3.341463528940161e-07,-3.2556677928741955e-07,-4.328149308434095e-05,5.333367118267126e-05,6.597131321814356e-07,-9.661516426701222e-05,9.334925187758528e-09
63,best,worst,-4.6550678080383015e-05,5.0763057458489384e-05,4.053313835442072e-06,-3.891054431660286e-06,-9.73137355388724e-05,7.944368267102357e-06,9.53307611169294e-09
64,despair,hope,-1.1587158861634001e-07,1.176145821356154e-07,5.5300994627542805e-05,-5.0006992875254054e-05,-2.3348617075195542e-07,0.00010530798750279686,1.1089826747681152e-08
65,dangerous,safe,4.468432986658147e-05,-3.5839566539041185e-05,3.590674361667658e-05,-3.200526986798277e-05,8.052389640562265e-05,6.791201348465935e-05,1.1096139467884002e-08
66,right,wrong,-4.6813282390271466e-05,4.8500357821637785e-05,3.0922968534113065e-05,-2.7607166598546568e-05,-9.531364021190926e-05,5.853013513265963e-05,1.2510466729092682e-08
67,lose,win,6.6088838614254e-05,-4.8724350663672934e-05,-1.0932163050039495e-05,1.2296284012876457e-05,0.00011481318927792694,-2.3228447062915952e-05,1.3721629185123767e-08
68,poor,rich,7.4586912459408e-05,-4.934613601154593e-05,1.7729740010260713e-05,-1.4027863924123956e-05,0.00012393304847095393,3.175760393438467e-05,1.636794591095706e-08
69,go,stop,-6.405658883559444e-05,6.743647457008555e-05,-8.832416941837651e-06,9.02624560438488e-06,-0.00013149306340568,-1.7858662546222533e-05,1.7609357551750033e-08
70,exclude,include,3.1653492067434776e-06,-2.533057586816133e-06,-6.121039134774996e-05,7.359232387785395e-05,5.698406793559611e-06,-0.0001348027152256039,1.8204243872180148e-08
71,bad,good,1.736254979675223e-05,-1.6328967692847213e-05,-7.045419204353083e-05,7.483586211731208e-05,3.3691517489599444e-05,-0.00014529005416084292,2.2244318188812653e-08
72,apart,together,8.42341852910408e-06,-6.72027808482286e-06,8.328500530750036e-05,-7.539464686720804e-05,1.514369661392694e-05,0.0001586796521747084,2.5408563561421103e-08
73,injustice,justice,9.463898546476457e-06,-6.925261561617285e-06,9.068743943409569e-05,-7.49397182370205e-05,1.6389160108093743e-05,0.00016562715767111619,2.7700959927261514e-08
74,enemy,friend,-2.8011700083183594e-05,5.217246587080262e-05,-8.525659920836661e-05,9.708255742328233e-05,-8.018416595398622e-05,-0.00018233915663164895,3.9677068510877414e-08
75,outside,within,-1.5816327653776607e-05,1.790349439738262e-05,-8.766901976804372e-05,0.00011069137307626793,-3.371982205115923e-05,-0.00019836039284431165,4.0483871848511485e-08
76,new,old,0.00010135604916761118,-9.621532776168891e-05,2.2604261580048633e-05,-2.108068355338338e-05,0.0001975713769293001,4.368494513343201e-05,4.094282341305054e-08
77,just,unjust,-0.00018312134114363218,0.0001966834898018362,2.8351573322102567e-06,-2.195427445113798e-06,-0.0003798048309454684,5.030584777324055e-06,1.4427701639271766e-07
78,no,yes,0.00022242273958777455,-0.0002051605037090864,-1.2556593734217564e-05,1.299412404363145e-05,0.00042758324329686095,-2.5550717777849016e-05,1.8348026912722588e-07
79,them,us,-0.00015301422075489376,0.00016387361942376327,0.00015260753024057478,-0.0001439334629974678,-0.000316887840178657,0.00029654099323804257,1.8835446392369888e-07
80,against,for,5.9222130141457496e-05,-5.5361738541219175e-05,0.000506911758401052,-0.0004914901721185618,0.00011458386868267668,0.000998401930519614,1.009935877827581e-06
